"Date","Price","Open","High","Low","Vol.","Change %"
"05/19/2023","108.68","108.05","108.95","107.72","9.14M","0.61%"
"05/18/2023","108.02","109.24","110.00","107.97","6.28M","-1.58%"
"05/17/2023","109.75","110.59","110.59","108.87","6.54M","-1.00%"
"05/16/2023","110.86","111.24","111.90","110.64","10.28M","-0.45%"
"05/15/2023","111.36","109.33","111.36","109.03","12.23M","1.75%"
"05/12/2023","109.45","111.47","111.58","109.36","13.71M","-1.77%"
"05/11/2023","111.42","111.28","112.52","111.24","18.76M","0.15%"
"05/10/2023","111.25","110.57","111.56","110.08","23.54M","0.61%"
"05/09/2023","110.57","113.86","113.86","110.05","23.97M","-2.86%"
"05/08/2023","113.83","114.53","114.58","113.15","14.23M","-0.65%"
"05/05/2023","114.57","113.53","115.27","113.49","7.03M","0.95%"
"05/04/2023","113.49","113.31","113.51","110.64","9.87M","0.04%"
"05/03/2023","113.44","113.66","114.06","113.03","7.96M","-0.07%"
"05/02/2023","113.52","116.52","116.52","113.50","9.28M","-2.91%"
"05/01/2023","116.92","116.92","116.92","116.92","14.56M","0.04%"
"04/28/2023","116.87","115.06","117.48","114.10","14.46M","1.80%"
"04/27/2023","114.80","113.45","115.18","112.59","5.88M","0.84%"
"04/26/2023","113.84","113.10","115.04","112.57","6.98M","0.51%"
"04/25/2023","113.26","114.05","114.05","112.21","5.52M","-0.87%"
"04/24/2023","114.25","114.60","115.29","114.03","4.40M","-0.36%"
"04/21/2023","114.66","114.28","114.74","113.68","5.63M","0.30%"
"04/20/2023","114.32","114.67","115.97","113.99","5.39M","-0.29%"
"04/19/2023","114.65","115.74","115.74","113.15","6.81M","-0.98%"
"04/18/2023","115.78","116.51","116.86","115.76","5.62M","-0.59%"
"04/17/2023","116.47","115.94","116.64","115.26","5.24M","0.54%"
"04/14/2023","115.84","113.89","117.16","113.89","6.92M","1.90%"
"04/13/2023","113.68","114.07","114.78","112.92","7.31M","-0.18%"
"04/12/2023","113.88","112.78","115.51","112.78","8.41M","1.10%"
"04/11/2023","112.64","112.08","113.60","111.85","6.74M","0.56%"
"04/06/2023","112.01","109.03","112.01","109.03","6.12M","2.70%"
"04/05/2023","109.07","111.37","111.44","108.61","10.56M","-2.21%"
"04/04/2023","111.53","111.05","112.87","111.05","7.93M","0.50%"
"04/03/2023","110.97","111.34","112.22","110.33","8.21M","-0.13%"
"03/31/2023","111.11","110.84","111.55","109.30","27.39M","0.41%"
"03/30/2023","110.66","106.94","110.73","106.94","8.92M","3.74%"
"03/29/2023","106.67","103.99","107.01","103.26","11.55M","2.67%"
"03/28/2023","103.90","106.71","107.48","102.91","11.77M","-2.73%"
"03/27/2023","106.82","106.76","107.71","106.07","7.13M","0.42%"
