"Date","Price","Open","High","Low","Vol.","Change %"
"05/01/2023","108.68","116.92","116.92","107.72","9.14M","-7.01%"
"04/01/2023","116.87","111.34","117.48","109.03","14.46M","5.18%"
"03/01/2023","111.11","125.78","127.17","102.91","250.52M","-12.19%"
"02/01/2023","126.54","129.51","138.66","124.49","155.05M","-2.14%"
"01/01/2023","129.31","118.06","134.58","118.06","142.92M","10.07%"
"12/01/2022","117.48","120.96","127.57","112.81","175.19M","-1.90%"
"11/01/2022","119.76","116.35","130.70","112.09","192.67M","3.09%"
"10/01/2022","116.17","110.02","118.01","100.65","202.09M","4.88%"
"09/01/2022","110.76","134.19","136.38","100.92","190.25M","-17.69%"
"08/01/2022","134.56","151.58","154.38","134.25","113.92M","-11.52%"
"07/01/2022","152.08","134.06","152.58","130.36","135.13M","13.24%"
"06/01/2022","134.30","161.82","162.30","133.27","154.77M","-16.81%"
"05/01/2022","161.43","169.88","170.88","151.03","114.57M","-5.99%"
"04/01/2022","171.72","183.03","187.07","171.12","77.40M","-6.29%"
"03/01/2022","183.24","182.83","187.57","165.51","115.13M","-0.09%"
"02/01/2022","183.41","189.27","191.48","171.86","116.66M","-2.79%"
"01/01/2022","188.68","196.37","199.03","180.36","84.36M","-3.83%"
"12/01/2021","196.20","193.11","197.02","187.90","91.78M","1.45%"
"11/01/2021","193.39","190.86","202.24","189.31","113.65M","1.27%"
"10/01/2021","190.97","179.67","195.11","177.73","90.83M","5.62%"
"09/01/2021","180.80","198.02","199.44","180.80","104.13M","-8.59%"
"08/01/2021","197.80","193.83","202.38","193.83","75.50M","2.21%"
"07/01/2021","193.53","181.82","194.44","181.26","81.69M","6.36%"
"06/01/2021","181.95","180.31","188.74","180.31","101.99M","1.08%"
"05/01/2021","180.00","174.10","181.22","170.09","89.36M","3.52%"
"04/01/2021","173.88","166.98","177.29","166.98","81.55M","4.17%"
"03/01/2021","166.92","162.26","169.44","161.61","125.42M","3.52%"
"02/01/2021","161.25","165.16","170.05","160.16","97.90M","-2.28%"
"01/01/2021","165.02","171.63","173.00","162.44","90.93M","-3.41%"
"12/01/2020","170.85","164.85","172.92","159.64","97.17M","3.84%"
"11/01/2020","164.53","146.69","167.73","146.27","127.95M","12.27%"
"10/01/2020","146.55","154.06","159.46","141.98","97.36M","-4.65%"
"09/01/2020","153.70","156.42","161.30","148.33","123.91M","-1.58%"
"08/01/2020","156.17","153.04","160.93","150.69","79.90M","2.08%"
"07/01/2020","152.99","151.66","157.80","148.54","95.94M","0.61%"
"06/01/2020","152.06","150.86","167.55","149.88","144.84M","1.21%"
"05/01/2020","150.24","147.55","152.01","137.12","157.50M","1.61%"
"04/01/2020","147.86","140.89","153.38","135.52","128.22M","3.87%"
"03/01/2020","142.35","183.08","191.95","119.77","176.71M","-21.94%"
"02/01/2020","182.36","196.26","207.45","180.44","77.74M","-7.08%"
"01/01/2020","196.25","192.98","198.76","191.20","61.37M","1.67%"
"12/01/2019","193.03","187.77","193.64","184.77","61.84M","2.76%"
"11/01/2019","187.84","184.92","189.37","181.88","63.99M","1.78%"
"10/01/2019","184.55","178.87","187.14","174.02","70.96M","3.14%"
"09/01/2019","178.94","171.13","179.49","165.91","71.19M","4.61%"
"08/01/2019","171.05","166.40","171.46","163.17","67.35M","2.76%"
"07/01/2019","166.46","165.75","173.00","165.75","61.12M","0.40%"
"06/01/2019","165.79","172.51","174.79","162.96","63.19M","-3.87%"
"05/01/2019","172.46","174.85","177.90","170.02","65.68M","-1.36%"
"04/01/2019","174.83","177.26","179.44","173.09","53.15M","-1.21%"
"03/01/2019","176.97","171.01","179.52","169.83","64.04M","3.59%"
"02/01/2019","170.83","173.94","174.34","169.30","55.62M","-1.76%"
"01/01/2019","173.89","156.43","175.54","154.32","56.95M","10.71%"
"12/01/2018","157.07","167.09","169.34","154.52","60.21M","-5.68%"
"11/01/2018","166.53","167.42","175.19","164.27","72.24M","-0.54%"
"10/01/2018","167.43","174.44","174.88","160.72","65.01M","-3.95%"
"09/01/2018","174.32","180.20","180.68","173.74","58.29M","-3.31%"
"08/01/2018","180.28","180.00","182.96","176.33","50.24M","0.19%"
"07/01/2018","179.93","176.77","180.85","176.34","54.32M","1.21%"
"06/01/2018","177.78","178.23","182.28","175.61","62.54M","-0.22%"
"05/01/2018","178.18","179.59","180.90","176.05","65.76M","-0.97%"
"04/01/2018","179.92","173.23","180.19","171.23","70.19M","3.72%"
"03/01/2018","173.47","167.56","173.99","165.13","91.35M","3.39%"
"02/01/2018","167.78","178.62","179.59","163.59","67.54M","-5.76%"
"01/01/2018","178.03","180.47","183.50","175.76","69.41M","-1.52%"
"12/01/2017","180.77","172.89","181.89","171.74","70.53M","4.55%"
"11/01/2017","172.91","172.33","174.34","169.72","68.75M","0.45%"
"10/01/2017","172.13","170.88","172.71","166.21","60.97M","0.96%"
"09/01/2017","170.50","169.62","171.86","166.31","49.94M","0.68%"
"08/01/2017","169.35","169.25","172.20","165.23","49.68M","0.20%"
"07/01/2017","169.02","171.95","173.29","167.54","50.09M","-1.59%"
"06/01/2017","171.75","177.09","180.16","170.60","72.32M","-3.09%"
"05/01/2017","177.23","174.47","182.18","174.29","67.28M","1.48%"
"04/01/2017","174.65","169.69","176.94","168.05","52.95M","3.12%"
"03/01/2017","169.37","170.24","170.85","164.34","77.84M","-0.29%"
"02/01/2017","169.86","162.03","172.22","162.03","57.81M","4.96%"
"01/01/2017","161.83","168.87","170.18","160.40","64.49M","-4.06%"
"12/01/2016","168.68","159.71","168.73","156.49","55.37M","5.50%"
"11/01/2016","159.88","162.85","163.98","155.55","63.39M","-1.72%"
"10/01/2016","162.67","175.07","175.51","159.28","63.63M","-7.31%"
"09/01/2016","175.50","180.46","183.28","171.97","58.81M","-2.59%"
"08/01/2016","180.16","181.25","182.49","176.94","43.87M","-0.43%"
"07/01/2016","180.93","170.84","180.93","160.30","68.92M","6.06%"
"06/01/2016","170.59","181.43","186.70","160.10","76.85M","-6.10%"
"05/01/2016","181.68","177.03","184.15","174.93","49.09M","2.55%"
"04/01/2016","177.17","177.12","180.40","173.71","48.96M","-0.23%"
"03/01/2016","177.57","167.99","180.03","167.26","55.42M","5.82%"
"02/01/2016","167.81","175.00","175.67","157.29","58.44M","-3.77%"
"01/01/2016","174.38","182.52","182.52","161.90","55.28M","-4.84%"
"12/01/2015","183.25","192.64","195.21","176.67","44.75M","-4.60%"
"11/01/2015","192.08","195.47","197.17","182.42","44.49M","-2.03%"
"10/01/2015","196.07","183.27","197.40","178.72","38.80M","7.65%"
"09/01/2015","182.14","180.78","185.04","176.53","46.94M","-0.06%"
"08/01/2015","182.25","189.75","197.67","170.93","43.63M","-3.73%"
