"",BBK01.WZ8580,BBK01.WZ8580_FLAGS
"",Expected real interest rates Germany - based on debt securities outstanding issued by residents - with 10 years maturity,
BBK_COMM_GEN_ENG,Based on debt securities outstanding issued by residents - Mean residual maturity of more than 9 and up to 10 years (monthly average) and weighted expected inflation rates (Consensus Forecast),
BBK_DECIMALS,3,
TIME_FORMAT,P1M,
unit,%,
unit multiplier,One,
last update,2023-04-03 14:49:09,
1989-10,4.357,
1989-11,4.652,
1989-12,4.656,
1990-01,4.910,
1990-02,5.690,
1990-03,5.985,
1990-04,5.671,
1990-05,5.672,
1990-06,5.770,
1990-07,5.578,
1990-08,5.772,
1990-09,5.967,
1990-10,5.988,
1990-11,5.890,
1990-12,5.792,
1991-01,5.809,
1991-02,5.421,
1991-03,5.324,
1991-04,5.383,
1991-05,5.390,
1991-06,5.396,
1991-07,5.595,
1991-08,5.601,
1991-09,5.511,
1991-10,4.849,
1991-11,4.866,
1991-12,4.787,
1992-01,4.319,
1992-02,4.336,
1992-03,4.352,
1992-04,4.776,
1992-05,4.796,
1992-06,4.817,
1992-07,4.932,
1992-08,4.953,
1992-09,4.685,
1992-10,4.282,
1992-11,4.204,
1992-12,4.223,
1993-01,3.729,
1993-02,3.557,
1993-03,3.288,
1993-04,3.727,
1993-05,3.841,
1993-06,3.858,
1993-07,3.682,
1993-08,3.506,
1993-09,3.329,
1993-10,3.171,
1993-11,3.190,
1993-12,3.113,
1994-01,2.897,
1994-02,3.109,
1994-03,3.513,
1994-04,3.813,
1994-05,4.013,
1994-06,4.407,
1994-07,4.314,
1994-08,4.514,
1994-09,4.909,
1994-10,4.939,
1994-11,4.945,
1994-12,4.853,
1995-01,4.951,
1995-02,4.752,
1995-03,4.651,
1995-04,4.613,
1995-05,4.418,
1995-06,4.339,
1995-07,4.448,
1995-08,4.247,
1995-09,4.152,
1995-10,4.175,
1995-11,3.904,
1995-12,3.717,
1996-01,3.534,
1996-02,3.834,
1996-03,4.047,
1996-04,4.204,
1996-05,4.332,
1996-06,4.425,
1996-07,4.328,
1996-08,4.237,
1996-09,4.133,
1996-10,3.935,
1996-11,3.733,
1996-12,3.741,
1997-01,3.739,
1997-02,3.539,
1997-03,3.624,
1997-04,3.788,
1997-05,3.595,
1997-06,3.602,
1997-07,3.400,
1997-08,3.488,
1997-09,3.357,
1997-10,3.286,
1997-11,3.281,
1997-12,3.080,
1998-01,2.880,
1998-02,2.813,
1998-03,2.742,
1998-04,2.871,
1998-05,2.990,
1998-06,2.804,
1998-07,2.800,
1998-08,2.621,
1998-09,2.330,
1998-10,2.382,
1998-11,2.471,
1998-12,2.178,
1999-01,2.039,
1999-02,2.138,
1999-03,2.355,
1999-04,2.184,
1999-05,2.382,
1999-06,2.667,
1999-07,3.068,
1999-08,3.253,
1999-09,3.338,
1999-10,3.722,
1999-11,3.414,
1999-12,3.500,
2000-01,3.914,
2000-02,3.899,
2000-03,3.699,
2000-04,3.737,
2000-05,3.933,
2000-06,3.736,
2000-07,3.926,
2000-08,3.914,
2000-09,3.911,
2000-10,3.754,
2000-11,3.756,
2000-12,3.463,
2001-01,3.400,
2001-02,3.390,
2001-03,3.271,
2001-04,3.168,
2001-05,3.344,
2001-06,3.219,
2001-07,3.221,
2001-08,3.136,
2001-09,3.057,
2001-10,2.951,
2001-11,2.789,
2001-12,3.118,
2002-01,3.238,
2002-02,3.211,
2002-03,3.395,
2002-04,3.302,
2002-05,3.399,
2002-06,3.194,
2002-07,3.110,
2002-08,2.827,
2002-09,2.638,
2002-10,2.808,
2002-11,2.804,
2002-12,2.628,
2003-01,2.471,
2003-02,2.279,
2003-03,2.372,
2003-04,2.628,
2003-05,2.327,
2003-06,2.167,
2003-07,2.481,
2003-08,2.672,
2003-09,2.650,
2003-10,2.744,
2003-11,2.823,
2003-12,2.708,
2004-01,2.651,
2004-02,2.658,
2004-03,2.455,
2004-04,2.610,
2004-05,2.798,
2004-06,2.772,
2004-07,2.767,
2004-08,2.571,
2004-09,2.560,
2004-10,2.319,
2004-11,2.210,
2004-12,2.124,
2005-01,2.079,
2005-02,2.076,
2005-03,2.172,
2005-04,1.949,
2005-05,1.838,
2005-06,1.633,
2005-07,1.714,
2005-08,1.699,
2005-09,1.478,
2005-10,1.713,
2005-11,1.900,
2005-12,1.817,
2006-01,1.739,
2006-02,1.838,
2006-03,2.035,
2006-04,2.346,
2006-05,2.339,
2006-06,2.341,
2006-07,2.423,
2006-08,2.328,
2006-09,2.134,
2006-10,2.099,
2006-11,2.114,
2006-12,2.115,
2007-01,2.425,
2007-02,2.461,
2007-03,2.375,
2007-04,2.515,
2007-05,2.615,
2007-06,2.893,
2007-07,2.895,
2007-08,2.800,
2007-09,2.704,
2007-10,2.711,
2007-11,2.506,
2007-12,2.669,
2008-01,2.472,
2008-02,2.476,
2008-03,2.267,
2008-04,2.386,
2008-05,2.583,
2008-06,2.862,
2008-07,2.954,
2008-08,2.575,
2008-09,2.490,
2008-10,2.238,
2008-11,2.089,
2008-12,1.678,
2009-01,1.735,
2009-02,1.756,
2009-03,1.677,
2009-04,1.870,
2009-05,2.084,
2009-06,2.168,
2009-07,1.943,
2009-08,1.841,
2009-09,1.826,
2009-10,1.646,
2009-11,1.631,
2009-12,1.616,
2010-01,1.762,
2010-02,1.655,
2010-03,1.675,
2010-04,1.646,
2010-05,1.346,
2010-06,1.131,
2010-07,1.208,
2010-08,0.906,
2010-09,0.901,
2010-10,0.749,
2010-11,0.929,
2010-12,1.317,
2011-01,1.399,
2011-02,1.564,
2011-03,1.635,
2011-04,1.653,
2011-05,1.444,
2011-06,1.248,
2011-07,1.161,
2011-08,0.775,
2011-09,0.400,
2011-10,0.434,
2011-11,0.350,
2011-12,0.364,
2012-01,0.268,
2012-02,0.267,
2012-03,0.160,
2012-04,-0.178,
2012-05,-0.489,
2012-06,-0.488,
2012-07,-0.571,
2012-08,-0.470,
2012-09,-0.386,
2012-10,-0.484,
2012-11,-0.682,
2012-12,-0.685,
2013-01,-0.463,
2013-02,-0.369,
2013-03,-0.560,
2013-04,-0.579,
2013-05,-0.565,
2013-06,-0.274,
2013-07,-0.180,
2013-08,-0.085,
2013-09,0.118,
2013-10,0.014,
2013-11,-0.076,
2013-12,0.029,
2014-01,0.030,
2014-02,-0.150,
2014-03,-0.252,
2014-04,-0.393,
2014-05,-0.500,
2014-06,-0.490,
2014-07,-0.618,
2014-08,-0.712,
2014-09,-0.718,
2014-10,-0.897,
2014-11,-0.993,
2014-12,-1.069,
2015-01,-1.177,
2015-02,-1.154,
2015-03,-1.273,
2015-04,-1.346,
2015-05,-0.865,
2015-06,-0.695,
2015-07,-0.794,
2015-08,-0.802,
2015-09,-0.801,
2015-10,-0.796,
2015-11,-0.908,
2015-12,-0.912,
2016-01,-0.955,
2016-02,-1.024,
2016-03,-1.196,
2016-04,-1.176,
2016-05,-1.233,
2016-06,-1.442,
2016-07,-1.555,
2016-08,-1.467,
2016-09,-1.478,
2016-10,-1.376,
2016-11,-1.201,
2016-12,-1.105,
2017-01,-1.192,
2017-02,-1.000,
2017-03,-1.006,
2017-04,-1.164,
2017-05,-1.161,
2017-06,-1.251,
2017-07,-1.172,
2017-08,-1.175,
2017-09,-1.275,
2017-10,-1.187,
2017-11,-1.187,
2017-12,-1.192,
2018-01,-1.214,
2018-02,-1.018,
2018-03,-1.117,
2018-04,-1.177,
2018-05,-1.177,
2018-06,-1.281,
2018-07,-1.284,
2018-08,-1.283,
2018-09,-1.180,
2018-10,-1.202,
2018-11,-1.308,
2018-12,-1.401,
2019-01,-1.313,
2019-02,-1.298,
2019-03,-1.385,
2019-04,-1.459,
2019-05,-1.557,
2019-06,-1.755,
2019-07,-1.707,
2019-08,-2.005,
2019-09,-1.899,
2019-10,-1.943,
2019-11,-1.744,
2019-12,-1.741,
2020-01,-1.836,
2020-02,-1.837,
2020-03,-1.836,
2020-04,-1.636,
2020-05,-1.688,
2020-06,-1.699,
2020-07,-1.933,
2020-08,-1.932,
2020-09,-1.926,
2020-10,-2.020,
2020-11,-2.059,
2020-12,-2.093,
2021-01,-2.152,
2021-02,-2.026,
2021-03,-1.953,
2021-04,-1.839,
2021-05,-1.763,
2021-06,-1.847,
2021-07,-2.021,
2021-08,-2.091,
2021-09,-1.932,
2021-10,-1.926,
2021-11,-2.025,
2021-12,-2.110,
2022-01,-1.834,
2022-02,-1.529,
2022-03,-1.538,
2022-04,-1.282,
2022-05,-1.054,
2022-06,-0.592,
2022-07,-0.964,
2022-08,-0.928,
2022-09,-0.311,
2022-10,0.031,
2022-11,-0.107,
2022-12,-0.109,
2023-01,0.032,
2023-02,0.325,
2023-03,0.498,
