DATAFLOW,LAST UPDATE,freq,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TIPSHO40(1.0),05/04/23 11:00:00,Q,INX_Q,AT,2010-Q1,74.05,
ESTAT:TIPSHO40(1.0),05/04/23 11:00:00,Q,INX_Q,AT,2010-Q2,76.54,
ESTAT:TIPSHO40(1.0),05/04/23 11:00:00,Q,INX_Q,AT,2010-Q3,78.16,
ESTAT:TIPSHO40(1.0),05/04/23 11:00:00,Q,INX_Q,AT,2010-Q4,78.44,
ESTAT:TIPSHO40(1.0),05/04/23 11:00:00,Q,INX_Q,AT,2011-Q1,79.01,
ESTAT:TIPSHO40(1.0),05/04/23 11:00:00,Q,INX_Q,AT,2011-Q2,81.05,
ESTAT:TIPSHO40(1.0),05/04/23 11:00:00,Q,INX_Q,AT,2011-Q3,82.83,
ESTAT:TIPSHO40(1.0),05/04/23 11:00:00,Q,INX_Q,AT,2011-Q4,83.50,
ESTAT:TIPSHO40(1.0),05/04/23 11:00:00,Q,INX_Q,AT,2012-Q1,85.50,
ESTAT:TIPSHO40(1.0),05/04/23 11:00:00,Q,INX_Q,AT,2012-Q2,86.75,
ESTAT:TIPSHO40(1.0),05/04/23 11:00:00,Q,INX_Q,AT,2012-Q3,89.14,
ESTAT:TIPSHO40(1.0),05/04/23 11:00:00,Q,INX_Q,AT,2012-Q4,88.89,
ESTAT:TIPSHO40(1.0),05/04/23 11:00:00,Q,INX_Q,AT,2013-Q1,90.37,
ESTAT:TIPSHO40(1.0),05/04/23 11:00:00,Q,INX_Q,AT,2013-Q2,91.74,
ESTAT:TIPSHO40(1.0),05/04/23 11:00:00,Q,INX_Q,AT,2013-Q3,94.48,
ESTAT:TIPSHO40(1.0),05/04/23 11:00:00,Q,INX_Q,AT,2013-Q4,91.81,
ESTAT:TIPSHO40(1.0),05/04/23 11:00:00,Q,INX_Q,AT,2014-Q1,94.32,
ESTAT:TIPSHO40(1.0),05/04/23 11:00:00,Q,INX_Q,AT,2014-Q2,95.83,
ESTAT:TIPSHO40(1.0),05/04/23 11:00:00,Q,INX_Q,AT,2014-Q3,95.14,
ESTAT:TIPSHO40(1.0),05/04/23 11:00:00,Q,INX_Q,AT,2014-Q4,96.03,
ESTAT:TIPSHO40(1.0),05/04/23 11:00:00,Q,INX_Q,AT,2015-Q1,93.88,
ESTAT:TIPSHO40(1.0),05/04/23 11:00:00,Q,INX_Q,AT,2015-Q2,99.89,
ESTAT:TIPSHO40(1.0),05/04/23 11:00:00,Q,INX_Q,AT,2015-Q3,104.01,
ESTAT:TIPSHO40(1.0),05/04/23 11:00:00,Q,INX_Q,AT,2015-Q4,102.22,
ESTAT:TIPSHO40(1.0),05/04/23 11:00:00,Q,INX_Q,AT,2016-Q1,106.48,
ESTAT:TIPSHO40(1.0),05/04/23 11:00:00,Q,INX_Q,AT,2016-Q2,108.87,
ESTAT:TIPSHO40(1.0),05/04/23 11:00:00,Q,INX_Q,AT,2016-Q3,109.43,
ESTAT:TIPSHO40(1.0),05/04/23 11:00:00,Q,INX_Q,AT,2016-Q4,109.35,
ESTAT:TIPSHO40(1.0),05/04/23 11:00:00,Q,INX_Q,AT,2017-Q1,111.54,
ESTAT:TIPSHO40(1.0),05/04/23 11:00:00,Q,INX_Q,AT,2017-Q2,114.24,
ESTAT:TIPSHO40(1.0),05/04/23 11:00:00,Q,INX_Q,AT,2017-Q3,114.75,
ESTAT:TIPSHO40(1.0),05/04/23 11:00:00,Q,INX_Q,AT,2017-Q4,116.51,
ESTAT:TIPSHO40(1.0),05/04/23 11:00:00,Q,INX_Q,AT,2018-Q1,117.50,
ESTAT:TIPSHO40(1.0),05/04/23 11:00:00,Q,INX_Q,AT,2018-Q2,118.51,
ESTAT:TIPSHO40(1.0),05/04/23 11:00:00,Q,INX_Q,AT,2018-Q3,120.37,
ESTAT:TIPSHO40(1.0),05/04/23 11:00:00,Q,INX_Q,AT,2018-Q4,122.18,
ESTAT:TIPSHO40(1.0),05/04/23 11:00:00,Q,INX_Q,AT,2019-Q1,122.38,
ESTAT:TIPSHO40(1.0),05/04/23 11:00:00,Q,INX_Q,AT,2019-Q2,126.40,
ESTAT:TIPSHO40(1.0),05/04/23 11:00:00,Q,INX_Q,AT,2019-Q3,127.81,
ESTAT:TIPSHO40(1.0),05/04/23 11:00:00,Q,INX_Q,AT,2019-Q4,129.81,
ESTAT:TIPSHO40(1.0),05/04/23 11:00:00,Q,INX_Q,AT,2020-Q1,131.85,
ESTAT:TIPSHO40(1.0),05/04/23 11:00:00,Q,INX_Q,AT,2020-Q2,135.02,
